type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Tau_Phi_dif,Tau_Phi_1,Tau_Phi_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2,Jet_Phi_dif,Jet_Phi_1,Jet_Phi_2
0,19.3022,1.23538,10.2688,9.03343,3.56935,2.583,3.07618,0.493178,33.3069,17.5515,15.7554,2.26469,1.11058,-1.15411,0.5229,-2.60847,-3.13137,29.044,20.9214,3.28299,12.1022,8.81919,3.8454,1.4933,2.66935,1.17605,30.0885,19.3794,10.709,-1.66846,-1.03572,0.632735,-0.948153,1.93777,2.88593
0,61.1407,11.097,36.1189,25.0218,7.74793,0.175278,3.9616,3.78633,411.175,101.61,309.566,-4.90031,-1.69346,3.20686,1.21186,1.45807,0.246213,23.1174,117.218,90.3412,103.779,13.4382,12.7171,7.21158,9.96435,2.75277,420.273,223.575,196.697,-4.77612,-1.40068,3.37545,-0.518852,-2.03105,-1.5122
0,50.7067,5.98916,28.348,22.3588,6.33133,3.59523,4.96328,1.36805,79.2818,56.7622,22.5196,1.21068,1.31387,0.103199,0.227943,0.136547,-0.0913956,72.7993,32.0926,14.6409,23.3668,8.72586,4.28896,1.61758,2.95327,1.33569,40.6243,23.6236,17.0007,-1.36121,-0.0782329,1.28298,0.256852,1.21017,0.95332
0,46.5592,26.0576,36.3084,10.2508,5.53308,1.86907,3.70108,1.83201,188.348,173.396,14.9527,1.3312,2.2453,0.914094,-0.472644,0.626274,1.09892,39.7046,83.3282,10.9679,47.148,36.1801,14.1723,2.49334,8.33282,5.83948,158.301,112.043,46.2575,2.22522,1.50815,-0.717073,2.28965,0.943593,-1.34606
0,117.69,10.2798,63.9851,53.7053,12.1387,10.7409,11.4398,0.698898,357.734,202.527,155.207,0.0947318,1.81774,1.72301,3.35028,2.55808,-0.792203,30.1977,20.0471,0.785227,10.4161,9.63092,3.94303,1.02312,2.48307,1.45995,32.8466,21.164,11.6826,1.95483,1.32718,-0.627647,1.39137,3.00408,1.61271
0,82.8589,5.41531,44.1371,38.7218,8.13686,-4.95216,1.59235,6.54451,161.632,122.359,39.2728,1.68815,1.67847,-0.00967703,-0.216292,-1.18461,-0.968318,27.5521,90.771,36.5621,63.6665,27.1044,10.6726,-0.789738,4.94141,5.73115,297.701,86.6715,211.029,-3.56491,-0.823983,2.74092,0.773516,2.42795,1.65444
0,30.477,12.7165,21.5967,8.88024,4.15455,-0.355005,1.89977,2.25478,142.624,125.012,17.6119,-3.73901,-2.44135,1.29766,4.46549,2.10931,-2.35618,21.5122,104.766,10.0275,57.3967,47.3692,15.6379,6.13398,10.8859,4.75194,144.991,61.0379,83.953,1.47569,0.303434,-1.17226,2.01669,0.975599,-1.04109
0,56.3463,2.94661,29.6464,26.6998,5.53576,-3.94295,0.796409,4.73935,349.278,35.4086,313.87,3.76887,0.613334,-3.15554,-0.214691,-1.29133,-1.07664,25.5851,37.5952,20.4513,29.0233,8.57193,5.01792,1.75378,3.38585,1.63207,315.843,107.351,208.492,-5.86594,-1.98184,3.8841,-1.50721,1.35104,2.85824
0,43.6372,13.7145,28.6758,14.9614,5.76764,-3.47714,1.14525,4.62239,148.385,132.723,15.6619,-2.23303,-2.21344,0.0195892,-2.22433,-0.293303,1.93103,79.8857,163,32.6556,97.8276,65.172,22.912,-2.30728,10.3023,12.6096,475.8,279.117,196.684,3.47549,1.70861,-1.76688,-4.26517,-1.37346,2.89171
0,55.5325,27.8727,41.7026,13.8299,3.93117,-2.27441,0.82838,3.10279,216.743,195.875,20.8676,1.27319,2.22852,0.95533,3.08993,2.0319,-1.05803,87.8506,120.758,19.0229,69.8906,50.8676,20.3543,-6.81444,6.76995,13.5844,325.691,188.357,137.334,-3.29234,-1.64751,1.64483,-1.08871,-1.56383,-0.475119
